payment_method_id,user_id,payment_type,provider,masked_details,last_four_digits,token,status,is_default,registration_date,expiry_date,last_used,transactions_count,total_amount_processed,verification_status,country,issuer_bank,billing_address,cvv_verified,three_ds_enabled,failed_attempts,risk_score
1,6719,credit_card,Visa,****6910,6910,08710583-4ffa-41d7-94a6-d4e89f0b3951,active,False,2025-03-27 09:32:03,01/30,2025-10-01 09:32:03,98,48215.5,verified,BR,Mitchell Ltd,"2163 Michelle Crossing, Smithland, VA 14401",True,True,0,52.85
2,4754,credit_card,Mastercard,****3428,3428,df4a988a-a348-42e7-801d-0258e4798802,active,False,2024-03-18 09:32:03,01/27,2025-09-17 09:32:03,80,45809.97,verified,MX,"Mosley, Hamilton and Pope","746 Michael Mountain, Schmittburgh, ND 16770",True,True,0,14.71
3,53,ewallet,MercadoPago,blackdavid@example.org,,6248f245-88a9-4832-8d24-cb9e456177d7,active,False,2025-04-23 09:32:03,,2025-10-16 09:32:03,153,23498.07,pending,BR,,,,,0,49.86
4,9235,bank_transfer,PSE,****1790,1790,035edb77-c719-42fa-8177-fe4a75670b99,inactive,True,2024-02-22 09:32:03,,2024-11-03 09:32:03,28,2615.74,verified,BR,Blackburn PLC,,,,0,84.09
5,2245,credit_card,American Express,****8104,8104,dd648a18-e79c-473a-897b-877c2e44c8c0,active,False,2024-09-23 09:32:03,12/29,2025-09-29 09:32:03,56,33527.9,verified,BR,Friedman and Sons,"7761 Blankenship Pass Apt. 100, New Kylie, ND 51236",False,False,0,80.68
6,332,credit_card,Visa,****5789,5789,98888d68-cff0-42d1-8135-994d3f553db8,active,False,2024-03-03 09:32:03,01/28,2025-09-14 09:32:03,143,17045.75,verified,CO,"Wilson, Walter and Riggs","1256 Russo Union, Spearschester, CA 87276",True,True,0,19.41
7,6826,credit_card,Visa,****3293,3293,6ff3a008-b866-4935-9469-3808099c2230,active,False,2024-01-15 09:32:03,07/30,2025-10-02 09:32:03,124,49247.94,verified,BR,"Carter, Clay and Flores","007 Fischer Stravenue Suite 822, Aliciafort, AS 50761",True,True,0,60.97
8,5785,debit_card,Maestro,****3756,3756,797e3bce-e4f4-4e38-9266-89f349add751,inactive,False,2025-10-11 09:32:03,09/27,2025-07-03 09:32:03,12,626.52,verified,BR,"Campos, Wilson and Perez","PSC 7391, Box 7539, APO AP 29678",True,False,0,56.82
9,1710,credit_card,Visa,****2431,2431,af4d9849-ef09-4871-aa15-3d4d5a94e7b9,active,True,2025-04-27 09:32:03,03/29,2025-09-07 09:32:03,187,29836.19,pending,CO,"Washington, Austin and Price","3675 Chan Falls, Port Andrew, NV 81153",True,True,0,54.58
10,3931,credit_card,Mastercard,****5362,5362,f9dd5d84-4b8a-4c4a-84dd-07c830402d46,inactive,False,2025-07-17 09:32:03,06/26,2025-08-12 09:32:03,23,1843.48,verified,CL,"Hall, Andrade and Butler","81453 Jeffrey Landing, Coxtown, MS 64685",False,True,0,7.27
