user_id,email,first_name,last_name,phone,date_of_birth,country,city,address,postal_code,registration_date,account_status,kyc_level,kyc_verified,transaction_limit_daily,preferred_currency,risk_score,total_transactions,total_volume,last_login,has_active_card,payment_methods_count,referral_code,is_merchant,merchant_category
1,ycaballero@example.com,Sonia,Velasco,546-814-3706x0382,1962-04-08,MX,San Cornelio los altos,"Retorno Sur Muro 682 Edif. 700 , Depto. 598, San Eloy de la Montaña, TAB 88399-8874",00579,2024-03-14 19:23:44,active,intermediate,True,30640,USD,65.74,206,6320.43,2025-09-16 19:23:44,False,4,543C8D19,False,
2,gabrielly73@example.org,Clarice,Siqueira,0300 636 4197,2005-12-22,BR,Correia,"Viaduto Liz Siqueira, 30, Delta, 91510269 Cassiano / SP",57784328,2024-01-05 19:23:44,active,basic,True,6705,COP,24.86,90,13863.12,2025-09-17 19:23:44,False,4,BB5A90D7,False,
3,jolivas@example.com,Augusto,Dávila,+29(8)1685349301,1974-08-14,MX,San Juana de la Montaña,"Pasaje Norte Leiva 686 193, Vieja Madagascar, CHIS 73899-3365",62321,2024-04-07 19:23:44,active,basic,True,1052,ARS,48.37,229,25657.06,2025-08-28 19:23:44,True,1,6326E420,False,
4,sofiafernandez@example.net,Geronimo,Ayala,+54 9 3232 8194,2003-04-20,AR,Formosa,"Av. 2 N° 77 Dto. 4, San Ferando del Valle de Catamarca 4700, Catamarca",20009710,2025-01-25 19:23:44,active,intermediate,True,19234,MXN,92.19,61,44829.01,2025-08-25 19:23:44,True,2,03368084,False,
5,gabriela24@example.org,Beatriz,Jaramillo,800.147.7294,1978-01-03,MX,Nueva Côte d'Ivoire,"Calzada Roldán 392 732, San Claudio de la Montaña, GTO 47226",83075,2024-03-03 19:23:44,active,basic,True,3244,COP,12.81,444,46893.51,2025-10-11 19:23:44,True,3,A0E309AC,False,
6,rocio85@example.org,Benito,Varela,(776)034-8873x28009,1993-10-29,MX,Vieja Nueva Zelandia,"Calle Australia 162 Interior 237, San Guadalupe de la Montaña, VER 15297-5709",06378-8734,2023-11-20 19:23:44,active,basic,True,5298,ARS,99.15,355,37943.02,2025-09-05 19:23:44,True,1,6396CCB4,False,
7,santiagoyuridia@example.com,Zoé,Durán,1-604-543-1132,1980-10-19,MX,Nueva República Dominicana,"Prolongación Gonzales 508 Interior 916, San Julio de la Montaña, MEX 69570-9278",95449,2024-05-23 19:23:44,active,intermediate,True,34143,CLP,40.39,8,1261.13,2025-10-12 19:23:44,True,4,9E243AF0,True,
8,ivasconcelos@example.net,André,da Rocha,81 9210-2555,1983-07-03,BR,Sá de Goiás,"Área de Rocha, 556, Vila Sumaré, 19480-982 Rocha / BA",68523296,2023-12-12 19:23:44,active,basic,True,3758,USD,67.36,245,7225.99,2025-08-30 19:23:44,True,3,3775A664,False,
9,claudia50@example.com,Eva,Pérez,+65(6)6366455007,1993-08-22,MX,San Bruno los bajos,"Peatonal Figueroa 895 Edif. 470 , Depto. 982, San Mónica de la Montaña, DF 89317",68832-6572,2024-02-19 19:23:44,active,intermediate,True,42731,CLP,42.08,72,13990.35,2025-10-21 19:23:44,True,1,FAEEEF86,False,
10,rvasquez@example.com,Pedro,Vargas,+56 52 397 3718,1971-11-09,PE,Negrete,"Calle Patricio Aguilar 37 Of. 474, Villarrica, Región de La Araucanía",0500440,2023-11-16 19:23:44,inactive,none,False,500,ARS,50.05,36,2887.88,,False,4,35577027,False,
11,hfreitas@example.org,Yasmin,Ferreira,(031) 2688 8843,1988-01-09,BR,Costa,"Colônia de Silveira, 99, Zilah Sposito, 02370-874 Borges / MG",63502-282,2025-08-07 19:23:44,active,intermediate,True,35789,CLP,16.99,442,29795.78,2025-09-06 19:23:44,False,2,947A2354,False,
12,gael-henrique49@example.org,Rafael,Teixeira,51 1244 9864,1996-10-11,BR,Gomes do Campo,"Aeroporto Nunes, 92, Distrito Industrial Do Jatoba, 36250502 da Conceição / GO",62998-186,2025-02-27 19:23:44,inactive,basic,True,3329,USD,6.25,33,1749.58,,False,4,62970B0D,False,
13,ymontoya@example.com,José,Fernández,6062344514,1970-02-17,CO,Itagüí,"Calle 1K # 1-2 Este, Apto. 98, 054324, Entrerríos, Antioquia",277813,2024-12-06 19:23:44,active,basic,True,3798,ARS,64.44,394,45212.45,2025-08-30 19:23:44,True,3,8C9C9059,False,
14,gvera@example.org,Maria Luz,Molina,+54 15 2345 8058,2001-02-25,AR,Ushuaia,"Diagonal 6 N° 8688, Santiago del Estero 4200, Santiago del Estero",34007391,2025-02-05 19:23:44,active,basic,True,5272,ARS,26.9,304,2090.72,2025-10-20 19:23:44,False,2,3ADA2E8C,False,
15,tobaralan@example.org,Juan,Martínez,+56 2 3416 3738,1973-11-13,CL,Llanquihue,"Calle Los Aromos 645 Of. 691, Punta Arenas, Región de Magallanes y de la Antártica Chilena, 3290000",8816370,2024-02-14 19:23:44,inactive,intermediate,True,12291,COP,39.77,32,127.9,,False,1,B98E5D61,False,
16,delfinaluna@example.com,Sofia Belen,Lopez,+54 15 2119 4390,1952-10-19,AR,Chilecito,"Diagonal 1 N° 773, Mendoza 5500, Mendoza",30001576,2025-08-14 19:23:44,active,none,False,500,CLP,79.89,227,35451.21,2025-09-14 19:23:44,True,1,37BEC8E5,False,
17,soledad20@example.org,Alta  Gracia,Palacios,1-756-457-1736x95658,1963-09-12,MX,Nueva Santo Tomé y Príncipe,"Cerrada Somalia 632 Edif. 011 , Depto. 597, San Alfonso los bajos, MEX 94396",29842,2025-06-07 19:23:44,active,basic,True,3736,COP,22.69,138,11815.46,2025-09-01 19:23:44,False,3,C4BE14D3,False,
18,maria47@example.org,Fabián,Andrade,+56 9 5237 3536,1956-04-18,CL,Temuco,"Los Naranjos 41 Of. 255, Valdivia, Región de Los Ríos",3087310,2024-08-31 19:23:44,inactive,intermediate,True,10198,COP,70.26,30,1787.22,,True,2,533CBE1F,False,
19,davi-luiz03@example.com,Alice,Machado,(021) 4074-4021,2001-06-15,BR,Freitas,"Recanto Pastor, 382, Itaipu, 38568-423 Albuquerque das Pedras / MS",15627-576,2025-09-25 19:23:44,inactive,advanced,True,79971,BRL,97.3,1,4485.95,,True,4,DFFE9E25,False,
20,palaciosvirginia@example.com,Adán,Samaniego,1-115-902-4237,1955-04-30,MX,Vieja Uganda,"Corredor República Democrática Popular Lao 954 777, San Rocío los altos, SON 75802",50856,2024-12-30 19:23:44,active,intermediate,True,26085,COP,28.48,77,45791.57,2025-09-16 19:23:44,True,4,B191B6E7,False,
21,leonardoabrego@example.net,Concepción,Muro,459.380.0688,2001-05-28,MX,Nueva Nigeria,"Continuación Oaxaca 732 Edif. 578 , Depto. 039, Nueva Mauricio, COAH 32753-3905",81332,2024-12-12 19:23:44,active,advanced,True,50067,ARS,45.73,269,15070.6,2025-08-28 19:23:44,True,3,F7EC5B3E,False,
22,sgomez@example.net,Rafael,López,57 605 275 73 95,1960-08-06,CO,Concepción,"Cr. 77 # 76K-26, 192940, Mercaderes, Cauca",271813,2024-04-20 19:23:44,active,basic,True,1759,COP,25.68,16,21622.83,2025-09-04 19:23:44,True,3,497E447D,False,
23,gabrielaguilar@example.org,Víctor,Jiménez,+56 600 730 385,1955-12-12,CL,San Bernardo,"Romina Herrera 613 Of. 903, Purranque, Región de Los Lagos",4840900,2025-07-20 19:23:44,suspended,intermediate,True,27782,MXN,86.48,13,2636.9,,True,1,739B3AE2,False,
24,kevin52@example.org,Lorena,Salgado,+56 42 296 8892,2007-01-11,PE,Chiguayante,"Gabriela Mistral 39, San Pablo, Región de Los Lagos, 2022900",3731980,2024-07-14 19:23:44,active,basic,True,4854,ARS,79.88,71,26393.16,2025-09-11 19:23:44,True,2,6A57AC20,False,
25,uriel40@example.com,Aurora,Villaseñor,085.547.5496,1988-04-19,MX,Vieja Iraq,"Avenida Tabasco 190 Edif. 386 , Depto. 813, San Juan de la Montaña, PUE 57222-5930",38871,2025-06-26 19:23:44,inactive,intermediate,True,15795,ARS,55.64,34,974.17,,True,2,056A59C8,True,
26,hda-costa@example.net,Anthony Gabriel,Cassiano,+55 61 5193-0743,1995-05-13,BR,Mendonça de Farias,"Loteamento Freitas, 13, Distrito Industrial Do Jatoba, 00284-843 Cirino / PA",18738504,2024-01-13 19:23:44,active,basic,True,8706,ARS,2.49,374,7609.22,2025-09-25 19:23:44,False,3,81E1EF86,True,
27,salinasrodrigo@example.net,Cristobal,Munguía,165.328.2165x74102,1963-04-16,MX,Vieja Irán,"Prolongación Sarabia 884 Edif. 082 , Depto. 592, Vieja Bulgaria, MEX 38842",68910,2025-01-12 19:23:44,suspended,basic,True,2882,ARS,59.01,49,3162.71,,True,1,ABBCA73D,False,
28,walvarado@example.net,José,Silva,+56 41 333 1141,1982-09-10,CL,Pichidegua,"Ruta 920-CH, km 26, Región de Magallanes y de la Antártica Chilena",4702860,2024-01-17 19:23:44,active,basic,True,7719,ARS,67.65,183,8390.21,2025-09-11 19:23:44,False,3,98FC290A,False,
29,pedropino@example.org,Gladys,Carvajal,+56 2 2207 6993,1958-05-19,CL,Quillón,"Manuel Salgado 8009 Piso 9, Cabildo, Región de Valparaíso, 6149760",8960210,2025-01-11 19:23:44,active,basic,True,6803,CLP,32.67,453,43014.69,2025-09-14 19:23:44,True,2,499B9A43,False,
30,fpaez@example.org,Patricia,Osorio,(+57) 302 280 82 05,1985-09-22,CO,Montería,"Calle 7U # 66-98 Este, 503522, Puerto López, Meta",175677,2024-08-24 19:23:44,active,advanced,True,57449,MXN,30.85,417,16839.41,2025-09-15 19:23:44,True,3,CA99ADBC,False,
31,berriossoledad@example.net,Conchita,Bahena,,1974-08-10,MX,Vieja Reino Unido de Gran Bretaña e Irlanda del Norte,"Circuito Sur Gastélum 135 941, Nueva Mónaco, YUC 17247",12342,2025-10-21 19:23:44,inactive,basic,True,8062,BRL,63.4,16,3354.62,,True,4,EB01F424,True,
